s,x,y,curvature
0.000000,0.515148,0.267663,0.03286780
0.100000,0.415708,0.257080,0.03301044
0.200000,0.316303,0.246170,0.03315637
0.300000,0.216936,0.234929,0.03330562
0.400000,0.117606,0.223358,0.03345817
0.500000,0.018316,0.211455,0.03361406
0.600000,-0.080933,0.199218,0.03377327
0.700000,-0.180141,0.186645,0.03393584
0.800000,-0.279305,0.173736,0.03410176
0.900000,-0.378425,0.160490,0.03427105
1.000000,-0.477498,0.146903,0.03444373
1.100000,-0.576524,0.132975,0.03461981
1.200000,-0.675501,0.118705,0.03479931
1.300000,-0.774428,0.104090,0.03498223
1.400000,-0.873303,0.089129,0.03516860
1.500000,-0.972125,0.073821,0.03535843
1.600000,-1.070892,0.058163,0.03555174
1.700000,-1.169602,0.042155,0.03574855
1.800000,-1.268255,0.025793,0.03594887
1.900000,-1.366848,0.009077,0.03615272
2.000000,-1.465380,-0.007995,0.03636013
2.100000,-1.563849,-0.025425,0.03657111
2.200000,-1.662253,-0.043216,0.03678568
2.300000,-1.760592,-0.061368,0.03700387
2.400000,-1.858862,-0.079884,0.03722568
2.500000,-1.957063,-0.098766,0.03745115
2.600000,-2.055193,-0.118015,0.03768029
2.700000,-2.153249,-0.137634,0.03791313
2.800000,-2.251230,-0.157625,0.03814968
2.900000,-2.349134,-0.177989,0.03838997
3.000000,-2.446958,-0.198729,0.03863402
3.100000,-2.544702,-0.219847,0.03888185
3.200000,-2.642364,-0.241344,0.03913348
3.300000,-2.739940,-0.263224,0.03938894
3.400000,-2.837429,-0.285487,0.03964824
3.500000,-2.934829,-0.308137,0.03991141
3.600000,-3.032138,-0.331176,0.04017847
3.700000,-3.129353,-0.354605,0.04044943
3.800000,-3.226473,-0.378428,0.04072433
3.900000,-3.323495,-0.402645,0.04100317
4.000000,-3.420417,-0.427261,0.04128599
4.100000,-3.517236,-0.452276,0.04157279
4.200000,-3.613950,-0.477693,0.04186361
4.300000,-3.710557,-0.503515,0.04215845
4.400000,-3.807055,-0.529744,0.04245734
4.500000,-3.903440,-0.556383,0.04276029
4.600000,-3.999710,-0.583434,0.04306733
4.700000,-4.095863,-0.610898,0.04337845
4.800000,-4.191895,-0.638780,0.04369369
4.900000,-4.287805,-0.667081,0.04401305
5.000000,-4.383589,-0.695804,0.04433655
5.100000,-4.479245,-0.724951,0.04466420
5.200000,-4.574770,-0.754525,0.04499600
5.300000,-4.670161,-0.784529,0.04533198
5.400000,-4.765415,-0.814964,0.04567213
5.500000,-4.860528,-0.845835,0.04601646
5.600000,-4.955499,-0.877142,0.04636498
5.700000,-5.050323,-0.908890,0.04671768
5.800000,-5.144998,-0.941080,0.04707458
5.900000,-5.239521,-0.973716,0.04743566
6.000000,-5.333887,-1.006800,0.04780093
6.100000,-5.428094,-1.040334,0.04817039
6.200000,-5.522139,-1.074322,0.04854401
6.300000,-5.616017,-1.108765,0.04892180
6.400000,-5.709726,-1.143668,0.04930374
6.500000,-5.803262,-1.179032,0.04968981
6.600000,-5.896620,-1.214861,0.05008000
6.700000,-5.989798,-1.251156,0.05047429
6.800000,-6.082792,-1.287922,0.05087264
6.900000,-6.175597,-1.325160,0.05127504
7.000000,-6.268210,-1.362873,0.05168146
7.100000,-6.360627,-1.401065,0.05209185
7.200000,-6.452844,-1.439737,0.05250619
7.300000,-6.544857,-1.478893,0.05292442
7.400000,-6.636661,-1.518536,0.05334650
7.500000,-6.728252,-1.558667,0.05377239
7.600000,-6.819626,-1.599291,0.05420202
7.700000,-6.910778,-1.640409,0.05463534
7.800000,-7.001705,-1.682024,0.05507228
7.900000,-7.092401,-1.724140,0.05551277
8.000000,-7.182861,-1.766759,0.05595675
8.100000,-7.273082,-1.809883,0.05640412
8.200000,-7.363059,-1.853515,0.05685481
8.300000,-7.452785,-1.897658,0.05730872
8.400000,-7.542257,-1.942314,0.05776576
8.500000,-7.631470,-1.987487,0.05822582
8.600000,-7.720419,-2.033178,0.05868880
8.700000,-7.809097,-2.079391,0.05915458
8.800000,-7.897501,-2.126127,0.05962304
8.900000,-7.985624,-2.173389,0.06009405
9.000000,-8.073462,-2.221180,0.06056747
9.100000,-8.161009,-2.269503,0.06104317
9.200000,-8.248259,-2.318359,0.06152099
9.300000,-8.335208,-2.367750,0.06200077
9.400000,-8.421848,-2.417680,0.06248236
9.500000,-8.508174,-2.468150,0.06296558
9.600000,-8.594182,-2.519163,0.06345025
9.700000,-8.679863,-2.570721,0.06393618
9.800000,-8.765214,-2.622825,0.06442317
9.900000,-8.850227,-2.675478,0.06491103
10.000000,-8.934896,-2.728682,0.06539954
10.100000,-9.019216,-2.782438,0.06588849
10.200000,-9.103180,-2.836749,0.06637763
10.300000,-9.186781,-2.891616,0.06686674
10.400000,-9.270014,-2.947040,0.06735558
10.500000,-9.352872,-3.003024,0.06784388
10.600000,-9.435348,-3.059569,0.06833139
10.700000,-9.517436,-3.116677,0.06881783
10.800000,-9.599129,-3.174348,0.06930294
10.900000,-9.680420,-3.232583,0.06978642
11.000000,-9.761303,-3.291385,0.07026798
11.100000,-9.841771,-3.350753,0.07074732
11.200000,-9.921817,-3.410689,0.07122413
11.300000,-10.001434,-3.471194,0.07169809
11.400000,-10.080615,-3.532269,0.07216889
11.500000,-10.159354,-3.593913,0.07263618
11.600000,-10.237643,-3.656127,0.07309964
11.700000,-10.315475,-3.718912,0.07355892
11.800000,-10.392843,-3.782269,0.07401368
11.900000,-10.469740,-3.846196,0.07446355
12.000000,-10.546159,-3.910693,0.07490817
12.100000,-10.622093,-3.975762,0.07534720
12.200000,-10.697535,-4.041401,0.07578025
12.300000,-10.772477,-4.107610,0.07620695
12.400000,-10.846912,-4.174388,0.07662694
12.500000,-10.920834,-4.241734,0.07703982
12.600000,-10.994235,-4.309648,0.07744524
12.700000,-11.067108,-4.378129,0.07784280
12.800000,-11.139445,-4.447175,0.07823212
12.900000,-11.211240,-4.516785,0.07861283
13.000000,-11.282486,-4.586957,0.07868464
13.100000,-11.353178,-4.657687,0.07808081
13.200000,-11.423316,-4.728967,0.07746807
13.300000,-11.492900,-4.800788,0.07684703
13.400000,-11.561929,-4.873143,0.07621828
13.500000,-11.630406,-4.946021,0.07558241
13.600000,-11.698329,-5.019415,0.07494001
13.700000,-11.765701,-5.093316,0.07429163
13.800000,-11.832522,-5.167715,0.07363783
13.900000,-11.898794,-5.242605,0.07297916
14.000000,-11.964517,-5.317976,0.07231614
14.100000,-12.029693,-5.393821,0.07164930
14.200000,-12.094325,-5.470131,0.07097913
14.300000,-12.158413,-5.546898,0.07030613
14.400000,-12.221960,-5.624113,0.06963077
14.500000,-12.284968,-5.701769,0.06895350
14.600000,-12.347439,-5.779858,0.06827476
14.700000,-12.409375,-5.858372,0.06759499
14.800000,-12.470779,-5.937303,0.06691459
14.900000,-12.531654,-6.016643,0.06623396
15.000000,-12.592002,-6.096384,0.06555348
15.100000,-12.651826,-6.176520,0.06487351
15.200000,-12.711129,-6.257042,0.06419440
15.300000,-12.769914,-6.337942,0.06351648
15.400000,-12.828184,-6.419215,0.06284007
15.500000,-12.885942,-6.500853,0.06216547
15.600000,-12.943191,-6.582848,0.06149296
15.700000,-12.999935,-6.665193,0.06082283
15.800000,-13.056177,-6.747882,0.06015531
15.900000,-13.111921,-6.830908,0.05949066
16.000000,-13.167170,-6.914264,0.05882911
16.100000,-13.221927,-6.997944,0.05817088
16.200000,-13.276197,-7.081941,0.05751615
16.300000,-13.329983,-7.166249,0.05686514
16.400000,-13.383288,-7.250861,0.05621800
16.500000,-13.436117,-7.335772,0.05557491
16.600000,-13.488474,-7.420975,0.05493602
16.700000,-13.540361,-7.506464,0.05430147
16.800000,-13.591784,-7.592234,0.05367139
16.900000,-13.642745,-7.678279,0.05304590
17.000000,-13.693249,-7.764593,0.05242512
17.100000,-13.743300,-7.851170,0.05180915
17.200000,-13.792902,-7.938006,0.05119806
17.300000,-13.842058,-8.025094,0.05059195
17.400000,-13.890773,-8.112430,0.04999089
17.500000,-13.939051,-8.200009,0.04939495
17.600000,-13.986896,-8.287825,0.04880418
17.700000,-14.034312,-8.375873,0.04821862
17.800000,-14.081302,-8.464149,0.04763833
17.900000,-14.127872,-8.552648,0.04706334
18.000000,-14.174024,-8.641365,0.04649367
18.100000,-14.219763,-8.730295,0.04592935
18.200000,-14.265094,-8.819435,0.04537040
18.300000,-14.310019,-8.908779,0.04481682
18.400000,-14.354544,-8.998324,0.04426862
18.500000,-14.398672,-9.088065,0.04372580
18.600000,-14.442406,-9.177999,0.04318836
18.700000,-14.485752,-9.268120,0.04265628
18.800000,-14.528714,-9.358425,0.04212956
18.900000,-14.571294,-9.448911,0.04160817
19.000000,-14.613497,-9.539572,0.04109209
19.100000,-14.655328,-9.630407,0.04058130
19.200000,-14.696789,-9.721410,0.04007578
19.300000,-14.737886,-9.812579,0.03957548
19.400000,-14.778621,-9.903910,0.03908037
19.500000,-14.818999,-9.995399,0.03859042
19.600000,-14.859024,-10.087043,0.03810559
19.700000,-14.898699,-10.178840,0.03762583
19.800000,-14.938028,-10.270784,0.03715110
19.900000,-14.977016,-10.362874,0.03668135
20.000000,-15.015665,-10.455107,0.03621653
20.100000,-15.053980,-10.547479,0.03575659
20.200000,-15.091965,-10.639987,0.03530149
20.300000,-15.129622,-10.732629,0.03485116
20.400000,-15.166957,-10.825401,0.03440555
20.500000,-15.203972,-10.918301,0.03396461
20.600000,-15.240671,-11.011327,0.03352827
20.700000,-15.277058,-11.104474,0.03309648
20.800000,-15.313137,-11.197742,0.03266917
20.900000,-15.348911,-11.291127,0.03224629
21.000000,-15.384383,-11.384627,0.03182778
21.100000,-15.419558,-11.478239,0.03141357
21.200000,-15.454438,-11.571961,0.03100359
21.300000,-15.489028,-11.665791,0.03059779
21.400000,-15.523330,-11.759726,0.03019610
21.500000,-15.557348,-11.853764,0.02979846
21.600000,-15.591086,-11.947904,0.02940479
21.700000,-15.624547,-12.042141,0.02901504
21.800000,-15.657735,-12.136476,0.02862914
21.900000,-15.690652,-12.230905,0.02824702
22.000000,-15.723302,-12.325427,0.02786862
22.100000,-15.755689,-12.420039,0.02749386
22.200000,-15.787815,-12.514739,0.02712269
22.300000,-15.819685,-12.609527,0.02675503
22.400000,-15.851300,-12.704399,0.02639081
22.500000,-15.882666,-12.799355,0.02602998
22.600000,-15.913783,-12.894391,0.02567246
22.700000,-15.944657,-12.989508,0.02531819
22.800000,-15.975290,-13.084701,0.02496710
22.900000,-16.005685,-13.179972,0.02461911
23.000000,-16.035845,-13.275316,0.02427418
23.100000,-16.065774,-13.370733,0.02393221
23.200000,-16.095474,-13.466222,0.02359316
23.300000,-16.124949,-13.561781,0.02325695
23.400000,-16.154202,-13.657407,0.02292352
23.500000,-16.183235,-13.753100,0.02259279
23.600000,-16.212052,-13.848859,0.02226470
23.700000,-16.240656,-13.944682,0.02193919
23.800000,-16.269049,-14.040566,0.02161619
23.900000,-16.297235,-14.136512,0.02129562
24.000000,-16.325217,-14.232518,0.02097743
24.100000,-16.352997,-14.328582,0.02066154
24.200000,-16.380578,-14.424703,0.02034790
24.300000,-16.407964,-14.520881,0.02003643
24.400000,-16.435157,-14.617112,0.01972706
24.500000,-16.462160,-14.713397,0.01941973
24.600000,-16.488976,-14.809734,0.01911437
24.700000,-16.515608,-14.906123,0.01881092
24.800000,-16.542059,-15.002561,0.01850931
24.900000,-16.568331,-15.099047,0.01820946
25.000000,-16.594427,-15.195582,0.01791132
25.100000,-16.620350,-15.292162,0.01774752
25.200000,-16.646100,-15.388789,0.01859380
25.300000,-16.671671,-15.485464,0.01944550
25.400000,-16.697053,-15.582188,0.02030309
25.500000,-16.722240,-15.678962,0.02116701
25.600000,-16.747221,-15.775790,0.02203772
25.700000,-16.771988,-15.872673,0.02291565
25.800000,-16.796534,-15.969611,0.02380125
25.900000,-16.820848,-16.066608,0.02469499
26.000000,-16.844923,-16.163665,0.02559731
26.100000,-16.868750,-16.260782,0.02650867
26.200000,-16.892319,-16.357962,0.02742951
26.300000,-16.915621,-16.455206,0.02836031
26.400000,-16.938647,-16.552516,0.02930151
26.500000,-16.961388,-16.649893,0.03025357
26.600000,-16.983835,-16.747337,0.03121696
26.700000,-17.005976,-16.844852,0.03219214
26.800000,-17.027804,-16.942437,0.03317956
26.900000,-17.049308,-17.040093,0.03417970
27.000000,-17.070478,-17.137822,0.03519302
27.100000,-17.091304,-17.235625,0.03621997
27.200000,-17.111776,-17.333503,0.03726103
27.300000,-17.131882,-17.431456,0.03831666
27.400000,-17.151613,-17.529486,0.03938731
27.500000,-17.170958,-17.627592,0.04047345
27.600000,-17.189906,-17.725775,0.04157553
27.700000,-17.208445,-17.824037,0.04269400
27.800000,-17.226564,-17.922376,0.04382931
27.900000,-17.244253,-18.020794,0.04498190
28.000000,-17.261498,-18.119290,0.04615220
28.100000,-17.278289,-18.217865,0.04734064
28.200000,-17.294612,-18.316517,0.04854764
28.300000,-17.310457,-18.415248,0.04977358
28.400000,-17.325810,-18.514057,0.05101887
28.500000,-17.340659,-18.612942,0.05228387
28.600000,-17.354990,-18.711903,0.05356894
28.700000,-17.368791,-18.810940,0.05487442
28.800000,-17.382049,-18.910051,0.05620062
28.900000,-17.394749,-19.009235,0.05754781
29.000000,-17.406878,-19.108490,0.05891627
29.100000,-17.418423,-19.207814,0.06030621
29.200000,-17.429368,-19.307207,0.06171783
29.300000,-17.439699,-19.406665,0.06315127
29.400000,-17.449403,-19.506186,0.06460664
29.500000,-17.458463,-19.605768,0.06608400
29.600000,-17.466865,-19.705407,0.06758335
